수집시각,아이템,체결건수,체결수량합,체결가_중앙,체결가_최저,체결_최초,체결_최종,체결구간_분,시간당_체결건수,매물_최저가,매물_평균가,매물_수량,매물_등록수
2026-09-02 12:54:24,태초 소울 결정,100,103,4899999,4100000,2026-09-02 08:02:41,2026-09-02 12:49:58,287.3,20.89,4877777,5000000,169,100
2026-09-02 17:39:30,레어 소울 결정,100,11420,2000,1500,2026-09-02 16:02:56,2026-09-02 17:38:37,95.7,62.7,2219,2001,21270,100
2026-09-02 17:39:32,유니크 소울 결정,100,7539,4080,2800,2026-09-02 16:25:33,2026-09-02 17:37:05,71.5,83.89,4000,4085,16000,100
2026-09-02 17:39:34,레전더리 소울 결정,100,769,40900,31000,2026-09-02 16:27:06,2026-09-02 17:38:30,71.4,84.03,40000,41700,1457,100
2026-09-02 17:39:36,에픽 소울 결정,100,259,964999,800000,2026-09-02 16:19:49,2026-09-02 17:34:07,74.3,80.78,820000,978078,343,100
2026-09-02 17:39:38,태초 소울 결정,100,119,4900000,4499999,2026-09-02 15:21:24,2026-09-02 17:33:08,131.8,45.54,4800000,5000000,121,100
2026-09-02 23:13:20,레어 소울 결정,100,13554,2001,1750,2026-09-02 22:14:59,2026-09-02 23:08:11,53.2,112.74,1987,2001,29702,100
2026-09-02 23:13:22,유니크 소울 결정,100,10728,4080,3800,2026-09-02 22:18:53,2026-09-02 23:11:43,52.9,113.51,3899,4085,11865,100
2026-09-02 23:13:23,레전더리 소울 결정,100,609,39800,35000,2026-09-02 21:49:53,2026-09-02 23:12:58,83.1,72.2,40101,41800,1654,100
2026-09-02 23:13:25,에픽 소울 결정,100,278,920000,850000,2026-09-02 22:45:34,2026-09-02 23:10:44,25.1,238.66,910000,978039,453,100
2026-09-02 23:13:27,태초 소울 결정,100,114,4999998,4790000,2026-09-02 22:15:41,2026-09-02 23:07:52,52.2,114.94,4994999,5000000,157,100
2026-09-03 04:18:21,레어 소울 결정,100,9384,2095,1100,2026-09-03 00:37:40,2026-09-03 04:06:56,209.3,28.67,2001,2001,23090,100
2026-09-03 04:18:23,유니크 소울 결정,100,7737,4085,3100,2026-09-03 01:03:32,2026-09-03 04:13:08,189.6,31.65,4080,4085,12448,100
2026-09-03 04:18:25,레전더리 소울 결정,100,1145,41750,30000,2026-09-03 00:57:18,2026-09-03 03:26:30,149.2,40.21,39000,41713,1895,100
2026-09-03 04:18:26,에픽 소울 결정,100,326,927000,847777,2026-09-03 01:57:25,2026-09-03 04:18:10,140.8,42.63,900000,977255,366,100
2026-09-03 04:18:28,태초 소울 결정,100,127,4879999,4600000,2026-09-03 00:14:48,2026-09-03 03:43:27,208.7,28.75,4666666,5000000,135,100
2026-09-03 12:52:49,레어 소울 결정,100,8045,2000,1400,2026-09-03 10:57:59,2026-09-03 12:52:16,114.3,52.49,1900,2001,17931,100
2026-09-03 12:52:50,유니크 소울 결정,100,5562,4000,3300,2026-09-03 10:57:21,2026-09-03 12:52:31,115.1,52.11,3899,4085,11090,100
2026-09-03 12:52:52,레전더리 소울 결정,100,699,40000,31500,2026-09-03 11:43:03,2026-09-03 12:48:50,65.8,91.24,40000,41707,995,100
